country,,,mostPopularSportByCountry_mostPopularSports,population
India,,,Cricket,1441719852
China,,,Basketball,1425178782
United States,,,American Football (NFL),341814420
Indonesia,,,Football (soccer),279798049
Pakistan,,,Cricket,245209815
Nigeria,,,Football (soccer),229152217
Brazil,,,Football (soccer),217637297
Bangladesh,,,Football (soccer),174701211
Russia,,,Football (soccer),143957079
Ethiopia,,,Football (soccer),129719719
Mexico,,,Football (soccer),129388467
Japan,,,Football (soccer),122631432
Philippines,,,Basketball,119106224
Egypt,,,Football (soccer),114484252
DR Congo,,,Wrestling,105625114
Vietnam,,,Tennis,99497680
Iran,,,Football (soccer),89809781
Turkey,,,Basketball,86260417
Germany,,,Football (soccer),83252474
Thailand,,,Football (soccer),71885799
Tanzania,,,Football (soccer),69419073
United Kingdom,,,Football (soccer),67961439
France,,,Basketball,64881830
South Africa,,,Football (soccer),61020221
Italy,,,Basketball,58697744
Kenya,,,Football (soccer),56203030
Myanmar,,,Football (soccer),54964694
Colombia,,,Football (soccer),52340774
South Korea,,,Basketball,51741963
Uganda,,,Football (soccer),49924252
Sudan,,,Football (soccer),49358228
Spain,,,Basketball,47473373
Iraq,,,Football (soccer),46523657
Algeria,,,Football (soccer),46278751
Argentina,,,Basketball,46057866
Afghanistan,,,,43372950
Poland,,,Football (soccer),40221726
Canada,,,Ice Hockey,39107046
Morocco,,,Football (soccer),38211459
Ukraine,,,Football (soccer),37937821
Angola,,,,37804634
Saudi Arabia,,,Football (soccer),37473929
Uzbekistan,,,Football (soccer),35673804
Yemen,,,,35219853
Mozambique,,,,34858402
Ghana,,,Football (soccer),34777522
Peru,,,Football (soccer),34683444
Malaysia,,,Football (soccer),34671895
Nepal,,,Tennis,31240315
Madagascar,,,,31056610
Ivory Coast,,,Football (soccer),29603302
Venezuela,,,Baseball,29395334
Cameroon,,,,29394433
Niger,,,,28238972
Australia,,,Australian Football,26699482
North Korea,,,,26244582
Syria,,,Football (soccer),24348053
Mali,,,,24015789
Taiwan,,,Basketball,23950214
Burkina Faso,,,Football (soccer),23840247
Sri Lanka,,,Cricket,21949268
Malawi,,,,21475962
Zambia,,,,21134695
Kazakhstan,,,Football (soccer),19828165
Chile,,,Football (soccer),19658839
Romania,,,Football (soccer),19618996
Chad,,,,18847148
Somalia,,,,18706922
Ecuador,,,Wrestling,18377367
Guatemala,,,Martial Arts,18358430
Senegal,,,,18221567
Netherlands,,,Football (soccer),17671125
Cambodia,,,,17121847
Zimbabwe,,,,17020321
Guinea,,,,14528770
Rwanda,,,,14414910
Burundi,,,,13591657
Bolivia,,,,12567336
Tunisia,,,,12564689
Haiti,,,,11867030
Belgium,,,Football (soccer),11715774
Dominican Republic,,,Baseball,11434005
Jordan,,,,11384922
South Sudan,,,,11277092
Cuba,,,Baseball,11174587
Honduras,,,Water Sports,10759406
Sweden,,,Football (soccer),10673669
Papua New Guinea,,,,10515788
Czech Republic,,,Ice Hockey,10503734
Azerbaijan,,,Football (soccer),10462904
Tajikistan,,,,10331513
Greece,,,Football (soccer),10302720
Portugal,,,Football (soccer),10223349
Hungary,,,Boxing,9994993
United Arab Emirates,,,Football (soccer),9591853
Belarus,,,Ice Hockey,9455037
Israel,,,Basketball,9311652
Togo,,,,9260864
Sierra Leone,,,,8977972
Austria,,,Football (soccer),8977139
Switzerland,,,Ice Hockey,8851431
Laos,,,,7736681
Hong Kong,,,Basketball,7496681
Nicaragua,,,Boxing,7142529
Serbia,,,,7097028
Libya,,,Football (soccer),6964197
Paraguay,,,Tennis,6947270
Kyrgyzstan,,,,6839606
Bulgaria,,,Football (soccer),6618615
Turkmenistan,,,,6598071
El Salvador,,,Cycling,6396289
Republic of the Congo,,,Cycling,6244547
Singapore,,,Football (soccer),6052709
Denmark,,,Football (soccer),5939695
Central African Republic,,,,5915627
Slovakia,,,Football (soccer),5702832
Finland,,,Ice Hockey,5549886
Liberia,,,,5536949
Norway,,,Ice Hockey,5514477
Palestine,,,,5494963
New Zealand,,,Rugby,5269939
Costa Rica,,,Water Sports,5246714
Lebanon,,,Wrestling,5219044
Ireland,,,Football (soccer),5089478
Mauritania,,,,4993922
Oman,,,Wrestling,4713553
Panama,,,Water Sports,4527961
Kuwait,,,Football (soccer),4349380
Croatia,,,Tennis,3986627
Eritrea,,,,3817651
Georgia,,,,3717425
Mongolia,,,Motor Sports,3493629
Uruguay,,,Skateboarding,3423316
Moldova,,,,3329865
Puerto Rico,,,Basketball,3268802
Bosnia and Herzegovina,,,Tennis,3194378
Gambia,,,,2841803
Albania,,,Football (soccer),2826020
Jamaica,,,,2824738
Armenia,,,Skating,2777979
Qatar,,,Football (soccer),2737061
Botswana,,,Cricket,2719694
Lithuania,,,Basketball,2692798
Namibia,,,Football (soccer),2645805
Gabon,,,,2484557
Lesotho,,,,2356083
Slovenia,,,Martial Arts,2118965
North Macedonia,,,,2082706
Latvia,,,Basketball,1810240
Equatorial Guinea,,,,1754993
Trinidad and Tobago,,,Wrestling,1538200
Bahrain,,,Wrestling,1498712
Timor-Leste,,,,1379883
Estonia,,,Cue Sports,1319041
Mauritius,,,Football (soccer),1301978
Cyprus,,,,1268467
Eswatini,,,,1222075
Djibouti,,,,1152329
Fiji,,,,943072
Comoros,,,,867605
Guyana,,,,819594
Bhutan,,,,792382
Solomon Islands,,,,756673
Luxembourg,,,Boxing,661594
Suriname,,,,628785
Montenegro,,,,626102
Cape Verde,,,,604461
Malta,,,,536740
Maldives,,,,517887
Brunei,,,Football (soccer),455858
Bahamas,,,Tennis,415223
Guadeloupe,,,,396346
Iceland,,,,377689
Martinique,,,Water Sports,366416
Vanuatu,,,,342325
French Guiana,,,,319796
New Caledonia,,,,295966
Barbados,,,,282309
Sao Tome and Principe,,,,236381
Samoa,,,,228966
Saint Lucia,,,,180805
Kiribati,,,,135763
Grenada,,,,126887
Micronesia,,,,116300
Tonga,,,,108683
Seychelles,,,Water Sports,108263
Saint Vincent and the Grenadines,,,,103683
Antigua and Barbuda,,,Cricket,94816
Andorra,,,,80341
Saint Kitts and Nevis,,,,47847
American Samoa,,,,43544
Marshall Islands,,,,42415
Monaco,,,,36157
San Marino,,,,33614
Gibraltar,,,Football (soccer),32718
Palau,,,,18051
Anguilla,,,,15936
Nauru,,,,12884
Tuvalu,,,,11478
Wallis and Futuna,,,,11439
